"","X","INSTNM","SATVR25","SATVRMID","SATVR75","SATMT25","SATMTMID","SATMT75","SATWR25","SATWRMID","SATWR75","TUITIONFEE_IN","TUITIONFEE_OUT","ACTCM25","ACTCM75","ACTCMMID","PCIP01","PCIP03","PCIP04","PCIP05","PCIP09","PCIP10","PCIP11","PCIP12","PCIP13","PCIP14","PCIP15","PCIP16","PCIP19","PCIP22","PCIP23","PCIP24","PCIP25","PCIP26","PCIP27","PCIP29","PCIP30","PCIP31","PCIP38","PCIP39","PCIP40","PCIP41","PCIP42","PCIP43","PCIP44","PCIP45","PCIP46","PCIP47","PCIP48","PCIP49","PCIP50","PCIP51","PCIP52","PCIP54","LATITUDE","LONGITUDE","HIGHDEG","HIGHDEG_1","undergrad.profile","twoorfour","partorfull","loworhigh","two.year","four.year","part.time","full.time","transfer.high","transfer.low"
"18",18,"Arnot Ogden Medical Center",460,560,560,460,540,660,410,560,650,7879,27263,22,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42.10099,-76.828353,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"19",19,"Associated Beth Rivkah Schools",330,560,660,490,530,680,540,500,590,7000,7000,24,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.666388,-73.950087,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"20",20,"Austin's School of Spa Technology",420,590,590,380,580,620,490,540,780,6460,21603,22,27,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.680756,-73.788706,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"21",21,"Bank Street College of Education",540,540,630,310,610,800,450,580,640,7583,19669,23,27,23,0.0055,0.0165,0.0131,0.0032,0.0442,0.0375,0.0137,0.0371,0.0388,0.0174,0.0392,0.0395,0.0114,0.0091,0.0352,0.0342,0.0358,0.0113,0.0418,0.0396,0.0165,0.035,0.0249,0.0276,0.0229,0.0397,0.0152,0.0171,0.0462,0.0201,0.0387,0.0356,0.0326,0.0338,0.0045,0.0441,0.0019,0.0197,40.805604,-73.966643,4,"Graduate degree",0,"Four Year","Full Time","Low",0,0,0,0,0,0
"22",22,"Bard College",520,580,660,390,530,600,520,580,560,48240,48240,21,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1205,0.3899,0,0,0,0,0.0674,0,0,0,0,0,0,0,0,0.2124,0,0,0,0,0.2098,0,0,0,42.021803,-73.906243,4,"Graduate degree",14,"Four Year","Full Time","Low",0,1,0,0,0,1
"23",23,"Barnard College",630,680,730,620,665,710,650,690,730,46040,46040,28,32,30,0,0.0292,0.0172,0.0738,0,0,0.0086,0,0,0,0,0.0326,0,0,0.084,0,0,0.1046,0.0326,0,0.0137,0,0.0292,0,0.012,0,0.0995,0,0,0.295,0,0,0,0,0.1184,0,0,0.0497,40.809137,-73.964027,3,"Bachelor's degree",14,"Four Year","Full Time","Low",0,1,0,0,0,1
"24",24,"Berk Trade and Business School",430,520,610,460,540,630,460,520,790,9212,25011,22,35,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40.745064,-73.931301,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"25",25,"Berkeley College-New York",360,490,580,360,510,750,540,510,790,23700,23700,25,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1741,0,0,0,0,0,0,0,0.131,0.6733,0,40.754043,-73.979577,3,"Bachelor's degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"26",26,"Beth Hatalmud Rabbinical College",390,540,550,520,500,660,490,510,650,7600,7600,25,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.605394,-73.993039,3,"Bachelor's degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"27",27,"Beth Hamedrash Shaarei Yosher Institute",430,520,650,510,590,660,370,500,600,8100,8100,23,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.635503,-73.981088,3,"Bachelor's degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"28",28,"Phillips Beth Israel School of Nursing",480,590,690,460,580,790,410,550,580,22280,22280,22,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40.744884,-73.991085,2,"Associate degree",5,"Four Year","Part Time","Low",0,1,1,0,0,0
"29",29,"Hair Design Institute at Fifth Avenue-Brooklyn",500,520,670,480,560,560,390,500,620,9964,22707,25,30,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.62318,-74.028581,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"30",30,"Boricua College",330,580,770,560,590,590,530,520,570,10625,10625,21,35,25,0,0,0,0,0,0,0,0,0.0879,0,0,0,0,0,0,0.6417,0,0,0,0,0,0,0,0,0,0,0,0,0.2117,0,0,0,0,0,0,0,0.0586,0,40.833434,-73.9458,4,"Graduate degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"31",31,"Bramson ORT College",380,560,760,510,580,600,480,580,590,11330,11330,23,26,25,0,0,0,0,0,0,0.1569,0,0,0,0.0438,0,0,0.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109,0.3905,0.3686,0,40.721403,-73.847799,2,"Associate degree",3,"Two Year","Full Time","Low",1,0,0,1,0,0
"32",32,"Briarcliffe College",530,520,600,310,600,670,410,580,580,14677,14677,20,30,24,0,0,0,0,0,0,0.0594,0,0,0,0,0,0,0.0578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3152,0,0,0,0,0,0,0.1271,0.1172,0.3234,0,40.758196,-73.495305,3,"Bachelor's degree",7,"Four Year","Full Time","High",0,1,0,1,1,0
"33",33,"Brittany Beauty School",390,530,620,540,560,580,330,530,630,9541,27299,23,33,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.724766,-73.515715,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"34",34,"American Beauty School",460,540,640,360,500,590,310,560,670,9981,24542,21,25,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.835231,-73.86071,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"35",35,"Brooklyn Law School",530,590,560,490,540,620,470,530,800,8637,28432,21,26,26,0.0379,0.0576,0.0387,0.0109,0.0103,0.017,0.0317,0.0283,0.0195,0.0074,8e-04,0.0067,0.0484,0.0165,0.0307,0.0248,0.0581,0.0034,0.0061,0.0044,0.0446,0.0412,0.0527,0.0049,0.0026,0.0143,0.0213,0.0426,0.0442,0.0174,0.0545,0.003,0.0273,0.0562,0.0646,0.0304,0.0013,0.0176,40.692662,-73.990535,4,"Graduate degree",0,"Four Year","Full Time","Low",0,0,0,0,0,0
"36",36,"SUNY Broome Community College",300,560,700,560,540,700,510,540,660,4695,8803,21,30,24,0,0.006,0,0,0.0294,8e-04,0.0324,0,0,0.0166,0.0565,0,0.0173,0.0271,0,0.3682,0,0.0038,0,0,0,0,0,0,0,0,0,0.0648,0.0233,0,0,0.009,0,0,0.0233,0.1883,0.1333,0,42.13532,-75.909212,2,"Associate degree",3,"Two Year","Full Time","Low",1,0,0,1,0,0
"37",37,"Bryant & Stratton College-Amherst",420,530,610,470,510,770,480,570,680,15653,15653,24,28,23,0,0,0,0,0,0.0394,0.0157,0,0,0,0,0,0,0.2205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787,0.3307,0.315,0,43.04047,-78.741691,3,"Bachelor's degree",7,"Four Year","Full Time","High",0,1,0,1,1,0
"38",38,"Bryant & Stratton College-Syracuse North",530,510,720,480,590,660,460,570,750,15949,15949,24,30,23,0,0,0,0,0,0,0.1029,0,0,0,0,0,0,0.1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0.4265,0.2794,0,43.189609,-76.240182,3,"Bachelor's degree",7,"Four Year","Full Time","High",0,1,0,1,1,0
"39",39,"Bryant & Stratton College-Syracuse",520,550,790,390,520,560,360,550,750,16329,16329,25,26,24,0,0,0,0,0,0,0.0571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1886,0,0,0,0,0,0,0,0.44,0.3143,0,43.058795,-76.136679,2,"Associate degree",3,"Two Year","Full Time","Low",1,0,0,1,0,0
"40",40,"Bryant & Stratton College-Buffalo",450,530,540,430,540,790,350,560,570,16059,16059,23,36,26,0,0,0,0,0,0,0.0885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2031,0,0,0,0,0,0,0,0.3958,0.3125,0,42.886474,-78.874095,3,"Bachelor's degree",7,"Four Year","Full Time","High",0,1,0,1,1,0
"41",41,"Bryant & Stratton College-Greece",530,560,670,500,580,710,410,570,590,16419,16419,25,34,26,0,0,0,0,0,0,0.0879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0,0,0,0,0.6264,0.1429,0,43.240605,-77.696582,2,"Associate degree",7,"Four Year","Full Time","High",0,1,0,1,1,0
"42",42,"Business Informatics Center Inc",470,530,590,500,570,600,530,540,670,14120,14120,25,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.663414,-73.707437,2,"Associate degree",1,"Two Year","Part Time","Low",1,0,1,0,0,0
"43",43,"Canisius College",480,530,580,490,545,600,540,540,710,34000,34000,21,27,24,0,0,0,0,0.089,0,0.0074,0,0.1039,0,0,0.0045,0,0,0.0252,0.0089,0,0.1142,0.0134,0,0,0.0178,0.0015,0,0.0237,0,0.1068,0,0,0.132,0,0,0,0,0.0089,0.0356,0.2804,0.0267,42.925319,-78.851794,4,"Graduate degree",12,"Four Year","Full Time","Low",0,1,0,1,0,1
"44",44,"Capri Cosmetology Learning Centers",510,540,590,410,580,560,540,540,790,6247,19264,20,30,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.099737,-74.021088,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"45",45,"St Paul's School of Nursing-Queens",300,550,550,430,530,600,460,580,590,21697,21697,24,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40.72921,-73.858441,2,"Associate degree",3,"Two Year","Full Time","Low",1,0,0,1,0,0
"46",46,"Cayuga County Community College",400,520,550,400,530,660,470,500,600,4596,8796,21,34,24,0,0,0,0,0,0.0372,0.0317,0,0,0,0.013,0,0.0186,0,0,0.5028,0,0,0,0,0,0,0,0,0,0,0,0.1471,0,0.0019,0,0,0,0,0.0168,0.0912,0.1397,0,42.943802,-76.543191,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"47",47,"Cazenovia College",390,570,610,470,500,680,420,590,770,30560,30560,22,28,24,0,0,0,0,0.0521,0,0,0,0.026,0,0,0,0,0,0.0104,0.0208,0,0.0156,0,0,0.0104,0,0,0,0,0,0.0677,0.0833,0.2188,0.0208,0,0,0,0,0.2708,0,0.2031,0,42.931946,-75.854054,3,"Bachelor's degree",10,"Four Year","Full Time","Low",0,1,0,1,0,1
"48",48,"Central Yeshiva Tomchei Tmimim Lubavitz",540,510,540,440,580,700,380,580,590,6700,6700,23,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.627852,-73.970807,4,"Graduate degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"49",49,"Cheryl Fells School of Business",450,580,680,330,520,710,480,580,750,9750,21255,22,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,43.106386,-78.983878,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"50",50,"Christ the King Seminary",510,520,540,500,510,620,360,590,680,10058,31893,20,35,23,0.0068,0.0053,0.0389,0.0286,0.0103,0.0339,0.0323,0.027,0.0252,0.0022,0.0105,0.0325,0.0036,0.0088,0.0015,0.0234,0.0538,0.0213,0.0301,0.0136,0.0307,0.0214,0.0102,0.0192,0.0475,0.0093,0.045,0.016,0.0459,0.0373,0.0487,0.0377,0.0211,0.0463,0.0185,0.0365,0.0455,0.0538,42.772212,-78.656594,4,"Graduate degree",0,"Four Year","Full Time","Low",0,0,0,0,0,0
"51",51,"Christine Valmy International School for Esthetics  Skin Care & Makeup",490,520,610,510,520,620,420,520,690,8106,28811,21,28,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.745084,-73.986966,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"52",52,"Circle in the Square Theater School",470,530,550,530,550,610,470,540,790,15540,15540,19,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.762059,-73.984607,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"53",53,"Clarkson University",520,570,620,570,620,670,490,545,600,42530,42530,24,29,27,0,0.0076,0,0,0.0228,0,0.0182,0,0,0.5539,0.0956,0,0,0,0,0.003,0,0.0804,0.0197,0,0.0106,0,0,0,0.0197,0,0.041,0,0,0.0137,0,0,0,0,0,0,0.1077,0.0061,44.663761,-74.999947,4,"Graduate degree",14,"Four Year","Full Time","Low",0,1,0,0,0,1
"54",54,"Clinton Community College",420,580,640,520,560,650,490,600,670,4530,9270,24,31,25,0,0,0,0,0,0,0.0405,0,0,0.0357,0.0643,0,0.0119,0,0,0.3643,0,0,0,0,0,0,0,0,0,0,0,0.119,0.119,0,0,0,0,0,0,0.1357,0.1095,0,44.648105,-73.442061,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"55",55,"Cochran School of Nursing",530,560,660,460,520,570,520,570,620,5813,17249,25,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40.968797,-73.88629,2,"Associate degree",1,"Two Year","Part Time","Low",1,0,1,0,0,0
"56",56,"Colgate Rochester Crozer Divinity School",520,570,620,410,530,570,530,530,600,7784,18489,22,35,26,0.0353,0.0278,0.0328,0.0149,0.0483,0.0183,0.0332,0.0398,0.0398,0.0369,0.0028,0.0472,0.0306,0.0191,0.0192,0.0342,0.006,0.0255,0.0146,0.0427,0.037,0.0077,0.0225,0.004,0.0262,0.0468,0.0153,0.0129,4e-04,0.0412,0.0479,0.0077,0.0179,0.0278,0.0115,0.0469,0.0372,0.02,43.131789,-77.598551,4,"Graduate degree",0,"Four Year","Full Time","Low",0,0,0,0,0,0
"57",57,"Colgate University",630,675,720,650,700,750,560,520,700,48175,48175,29,32,31,0,0.0267,0,0.012,0,0,0.0187,0,0.0147,0,0,0.0494,0,0,0.0708,0,0,0.1135,0.0227,0,0.0374,0,0.0467,0,0.0587,0,0.0721,0,0,0.3271,0,0,0,0,0.0401,0,0,0.0895,42.8188,-75.535,4,"Graduate degree",14,"Four Year","Full Time","Low",0,1,0,0,0,1
"58",58,"Metropolitan College of New York",510,530,680,380,550,730,540,530,580,17800,17800,20,35,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5165,0.0256,0,0,0,0,0,0.1282,0.3297,0,40.723516,-74.007056,4,"Graduate degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"59",59,"Columbia University in the City of New York",690,735,780,700,745,790,700,740,780,51008,51008,31,34,33,0,0.0053,0.0078,0.0306,0,0,0.0417,0,0,0.164,0,0.034,0,0,0.0548,0.0034,0,0.0781,0.0393,0,0.0189,0,0.0301,0,0.0344,0,0.048,0,0,0.2441,0,0,0,0,0.0422,0.0815,0,0.0417,40.808286,-73.961885,4,"Graduate degree",15,"Four Year","Full Time","High",0,1,0,1,1,0
"60",60,"Columbia-Greene Community College",420,570,760,520,500,670,490,570,590,4410,8490,24,29,26,0,0.0086,0,0,0,0,0.0432,0,0.0173,0,0,0,0,0,0,0.4582,0,0,0,0,0,0.0029,0,0,0,0,0,0.0893,0.0058,0,0,0.0375,0,0,0.0058,0.2219,0.1095,0,42.23018,-73.787809,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"61",61,"Empire Beauty School-Queens",430,510,650,450,580,570,440,520,560,12012,24839,22,35,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.759165,-73.919106,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"62",62,"Concordia College-New York",380,425,470,380,435,490,390,430,470,28775,28775,17,22,20,0,0,0,0,0,0,0,0,0.1027,0,0,0,0,0,0,0.0811,0,0.0919,0,0,0,0,0,0,0,0,0,0,0.027,0.1622,0,0,0,0,0,0.3189,0.2162,0,40.94253,-73.82212,4,"Graduate degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"63",63,"Continental School of Beauty Culture-Buffalo",490,490,670,320,540,610,390,530,750,7334,28060,24,32,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.958227,-78.83,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"64",64,"Continental School of Beauty Culture-Batavia",500,540,700,430,560,620,420,560,600,8483,26527,22,31,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0013,-78.193,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"65",65,"Continental School of Beauty Culture-Rochester",500,570,670,340,510,640,530,500,630,10062,23157,20,30,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.086371,-77.627186,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"66",66,"Cooper Union for the Advancement of Science and Art",600,665,730,650,710,770,610,660,710,41400,41400,30,34,32,0,0,0.1456,0,0,0,0,0,0,0.5534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,0,0,0,40.72938,-73.990516,4,"Graduate degree",14,"Four Year","Full Time","Low",0,1,0,0,0,1
