"","X","INSTNM","SATVR25","SATVRMID","SATVR75","SATMT25","SATMTMID","SATMT75","SATWR25","SATWRMID","SATWR75","TUITIONFEE_IN","TUITIONFEE_OUT","ACTCM25","ACTCM75","ACTCMMID","PCIP01","PCIP03","PCIP04","PCIP05","PCIP09","PCIP10","PCIP11","PCIP12","PCIP13","PCIP14","PCIP15","PCIP16","PCIP19","PCIP22","PCIP23","PCIP24","PCIP25","PCIP26","PCIP27","PCIP29","PCIP30","PCIP31","PCIP38","PCIP39","PCIP40","PCIP41","PCIP42","PCIP43","PCIP44","PCIP45","PCIP46","PCIP47","PCIP48","PCIP49","PCIP50","PCIP51","PCIP52","PCIP54","LATITUDE","LONGITUDE","HIGHDEG","HIGHDEG_1","undergrad.profile","twoorfour","partorfull","loworhigh","two.year","four.year","part.time","full.time","transfer.high","transfer.low"
"1",1,"Tri-State College of Acupuncture",340,530,600,370,610,560,550,550,640,9296,27299,21,34,23,0.0374,0.0417,0.0198,0.04,0.0148,0.0204,0.0013,0.0506,0.0388,0.0068,0.0393,0.0333,0.0098,0.0118,0.0138,0.0396,0.0425,0.0518,0.0242,0.022,0.0025,0.0526,0.012,0.0429,0.0207,0.0337,0.0091,0.0171,0.0032,0.0452,0.0114,0.0331,0.0098,0.0339,0.0172,0.0508,0.0092,0.0361,40.739862,-74.002085,4,"Graduate degree",0,"Four Year","Full Time","Low",0,0,0,0,0,0
"2",2,"Vaughn College of Aeronautics and Technology",420,560,660,500,520,610,330,580,730,21642,21642,24,28,25,0,0,0,0,0,0,0.0103,0,0,0.0077,0.1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4872,0,0.3641,0,0,0.0179,0,40.768348,-73.881721,4,"Graduate degree",7,"Four Year","Full Time","High",0,1,0,1,1,0
"3",3,"Adelphi University",500,550,600,510,565,620,510,560,610,32340,32340,19,24,22,0,0.0082,0,0,0.0387,0,0.0124,0,0.0502,0,0,0.0025,0,0,0.0346,0.0231,0,0.0404,0.0115,0,0.0132,0.0412,8e-04,0,0.0115,0,0.0741,0.0247,0.0486,0.0692,0,0,0,0,0.061,0.2735,0.1483,0.0124,40.721439,-73.653321,4,"Graduate degree",13,"Four Year","Full Time","High",0,1,0,1,1,0
"4",4,"Adirondack Community College",370,590,640,460,590,600,450,520,750,4302,8172,24,33,26,0,0,0,0,0,0.0058,0.0462,0.0212,0.0115,0.0135,0.0135,0,0.0192,0,0.0038,0.3846,0,0,0,0,0,0.0192,0,0,0,0,0,0.0442,0,0,0,0,0,0,0.0731,0.2192,0.125,0,43.353441,-73.655014,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"5",5,"Globe Institute of Technology",510,510,560,550,520,660,400,500,620,11120,11120,23,27,24,0,0,0,0,0,0,0.1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7091,0,40.714909,-74.006011,3,"Bachelor's degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"6",6,"Bryant & Stratton College-Albany",490,490,590,410,550,590,320,520,640,16424,16424,22,32,24,0,0,0,0,0,0,0.0415,0,0,0,0,0,0,0.0777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1969,0,0,0,0,0,0,0,0.4508,0.2332,0,42.697996,-73.810438,3,"Bachelor's degree",5,"Four Year","Part Time","Low",0,1,1,0,0,0
"7",7,"Albany College of Pharmacy and Health Sciences",500,555,610,570,610,650,500,550,600,30131,30131,23,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42.652559,-73.778132,4,"Graduate degree",15,"Four Year","Full Time","High",0,1,0,1,1,0
"8",8,"Albany Law School",530,550,770,410,610,720,530,590,630,6906,18938,20,29,25,0.0298,0.0438,0.0419,0.0179,0.0032,0.0341,0.0376,0.0113,0.0462,0.0363,0.032,0.0049,0.0263,0.0045,0.0484,0.0438,0.0363,0.0097,0.0071,0.0064,0.0203,0.0235,0.0495,0.0425,0.0313,0.0302,0.0128,0.0327,0.02,0.0224,0.0273,0.0239,0.0473,0.0417,0.0182,0.0238,0.0075,0.0038,42.651264,-73.777692,4,"Graduate degree",0,"Four Year","Full Time","Low",0,0,0,0,0,0
"9",9,"Albany Medical College",490,560,570,450,530,680,310,540,690,9232,29205,19,27,25,0.0446,0.0163,0.0069,0.0298,0.0301,0.0408,0.0198,0.0044,0.0383,0.0403,0.022,0.0483,0.0253,0.021,0.0116,0.0437,0.0121,0.0011,0.0014,0.0281,0.0366,0.0207,0.023,0.0394,0.0359,0.0394,0.0217,0.0078,0.0488,0.0427,0.0177,0.0186,0.0251,0.0066,0.0224,0.0431,0.0291,0.0354,42.653178,-73.773975,4,"Graduate degree",0,"Four Year","Full Time","Low",0,0,0,0,0,0
"10",10,"Alfred University",470,520,570,480,535,590,440,495,550,26026,26026,21,26,24,0,0.0128,0,0,0.0255,0,0,0,0.0434,0.1582,0,0.0077,0,0,0.0332,0.0026,0,0.0459,0.0077,0,0.0077,0,0.0051,0,0.023,0,0.0791,0.0306,0,0.0357,0,0,0,0,0.3163,0.0357,0.1148,0.0153,42.255866,-77.788625,4,"Graduate degree",12,"Four Year","Full Time","Low",0,1,0,1,0,1
"11",11,"Allen School-Brooklyn",360,550,570,500,520,760,520,510,630,11346,23019,24,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40.693797,-73.991546,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"12",12,"The Ailey School",500,560,680,540,550,650,500,510,770,11520,11520,20,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.766921,-73.986891,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"13",13,"American Academy of Dramatic Arts-New York",420,570,570,520,570,710,350,590,590,30650,30650,21,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.745545,-73.984843,2,"Associate degree",4,"Two Year","Full Time","Low",1,0,0,1,0,0
"14",14,"American Academy McAllister Institute of Funeral Service",540,550,570,430,510,790,480,550,570,14498,14498,20,27,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.769031,-73.993782,2,"Associate degree",1,"Two Year","Part Time","Low",1,0,1,0,0,0
"15",15,"Joffrey Ballet School",450,520,710,330,550,750,550,580,590,14599,14599,20,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.734545,-73.998566,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"16",16,"American Musical and Dramatic Academy",410,510,740,530,570,720,410,500,560,32620,32620,21,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.780142,-73.982249,3,"Bachelor's degree",10,"Four Year","Full Time","Low",0,1,0,1,0,1
"17",17,"Apex Technical School",430,590,590,360,600,620,470,550,570,11804,30158,21,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4659,0.3561,0.178,0,0,0,0,0,40.75043,-73.941511,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
